raw_specialty,nucc_codes,Label,explain,validated_label_used,methodA_flag,methodA_overlap_unigram,methodA_overlap_bigram,methodA_uni_jaccard,methodA_bi_jaccard,methodB_flag,methodB_fwd,methodB_rev,methodB_avg,methodC_flag,methodC_cosine,green_flag
Ophthalmology,207W00000X,1.0,exact match on 'ophthalmology' + spacing rescue,,,,,,,,,,,,,1
MEDICAL GENETICS,261QG0250X,1.0,exact match on 'genetics',,,,,,,,,,,,,1
Cardiothoracic Surgery hospital,208600000X|208G00000X,1.0,fuzzy match (query='cardiothoracic surgery'): 'surgery' score=1.00; 'thoracic surgery cardiothoracic vascular surgery' score=1.00,,,,,,,,,,,,,1
Infectious-Disease,207RI0200X,1.0,fuzzy match (query='infectious disease'): 'internal medicine infectious disease' score=1.00 + spacing rescue,,,,,,,,,,,,,1
NEUROLOGY,2084A0401X|2084B0040X|2084P0301X|2084P0802X|2084P0804X,1.0,fuzzy match (query='neurology'): 'psychiatry neurology addiction medicine' score=1.00; 'psychiatry neurology addiction psychiatry' score=1.00; 'psychiatry neurology behavioral neurology neuropsychiatry' score=1.00; 'psychiatry neurology brain injury medicine' score=1.00; 'psychiatry neurology child adolescent psychiatry' score=1.00 + spacing rescue,,,,,,,,,,,,,1
internal medicine,207R00000X,1.0,exact match on 'internal medicine',,,,,,,,,,,,,1
Gastroenterology,163WG0100X|207RG0100X|2080P0206X,1.0,fuzzy match (query='gastroenterology'): 'internal medicine gastroenterology' score=1.00; 'pediatrics pediatric gastroenterology' score=1.00; 'nurse gastroenterology' score=1.00 + spacing rescue,,,,,,,,,,,,,1
Orthotics and Prosthetics CLINIC,335E00000X|261Q00000X,1.0,fuzzy match (query='orthotics prosthetics'): 'prosthetic orthotic supplier' score=0.82 + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
surgical oncology,208600000X,1.0,exact match on 'surgery',,,,,,,,,,,,,1
Dept of Clinical Psychology,103TH0100X,0.8182,fuzzy match (query='psychology'): 'psychologist' score=0.82,Psychologist Health Service,1,0,0,0.0,0.0,1,0.4815,0.4815,0.4815,0,0.6391,0
Midwife - USA,176B00000X,1.0,exact match on 'midwife',,,,,,,,,,,,,1
Dept of Dietitian,133V00000X,1.0,exact match on 'dietitian',,,,,,,,,,,,,1
OPTICIAN Unit,156FX1800X,1.0,exact match on 'optician',,,,,,,,,,,,,1
Dept of PEDIATRIC OPTOMETRIST,152W00000X|152WP0200X,1.0,fuzzy match (query='pediatric optometrist'): 'optometrist' score=1.00; 'optometrist pediatrics' score=0.98,,,,,,,,,,,,,1
PEDIATRIC OPTOMETRIST Center,152W00000X|152WP0200X|261Q00000X,1.0,fuzzy match (query='pediatric optometrist'): 'optometrist' score=1.00; 'optometrist pediatrics' score=0.98 + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
NaturopathicPhysician,175F00000X,1.0,fuzzy match (query='naturopath icphysician'): 'naturopath' score=1.00 + spacing rescue,,,,,,,,,,,,,1
Midwife Services,176B00000X,1.0,exact match on 'midwife',,,,,,,,,,,,,1
Geriatric Medicine Service,207PE0004X|207QG0300X|207RG0300X,1.0,fuzzy match (query='geriatric medicine'): 'medicine' score=1.00; 'family medicine geriatric medicine' score=1.00; 'internal medicine geriatric medicine' score=1.00,,,,,,,,,,,,,1
RADIOLOGYMOBILECLINIC/CENTER,261QR0208X|261Q00000X,1.0,exact match on 'radiology mobile' + spacing rescue + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Nuclear Medicine,207U00000X,1.0,exact match on 'nuclear medicine',,,,,,,,,,,,,1
Chiropractic CLINIC,111N00000X|261Q00000X,1.0,fuzzy match (query='chiropractic'): 'chiropractor' score=0.83 + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Dr. COMMUNITY HEALTH - CLINIC/CENTER,261QC1500X|261Q00000X,1.0,exact match on 'community' + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Gastroenterology Service,163WG0100X|207RG0100X|2080P0206X,1.0,fuzzy match (query='gastroenterology'): 'internal medicine gastroenterology' score=1.00; 'pediatrics pediatric gastroenterology' score=1.00; 'nurse gastroenterology' score=1.00,,,,,,,,,,,,,1
Psychiatry Center,2084A0401X|2084B0040X|2084P0301X|2084P0802X|2084P0804X|261Q00000X,1.0,fuzzy match (query='psychiatry'): 'psychiatry neurology addiction medicine' score=1.00; 'psychiatry neurology addiction psychiatry' score=1.00; 'psychiatry neurology behavioral neurology neuropsychiatry' score=1.00; 'psychiatry neurology brain injury medicine' score=1.00; 'psychiatry neurology child adolescent psychiatry' score=1.00 + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Emergency Med,JUNK,0.5714,best fuzzy 0.57 below cutoff 0.60 (query='med'),,,,,,,,,,,,,0
CLINICAL LABORATORY,291U00000X,1.0,exact match on 'laboratory',,,,,,,,,,,,,1
Public Health,1223D0001X|2083P0901X|213EP0504X|251K00000X|364SC1501X,1.0,fuzzy match (query='public'): 'preventive medicine public general preventive medicine' score=1.00; 'dentist dental public' score=1.00; 'nurse community public' score=1.00; 'podiatrist public medicine' score=1.00; 'public or welfare' score=1.00,,,,,,,,,,,,,1
Midw,176B00000X,0.7273,fuzzy match (query='midw'): 'midwife' score=0.73,Midwife,1,0,0,0.0,0.0,0,0.7273,0.7273,0.7273,1,0.5214,0
Radiology Unit,243U00000X|261QR0200X,1.0,exact match on 'radiology',,,,,,,,,,,,,1
RADIOLOGY MOBILE CLINIC/CENTER,261QR0208X|261Q00000X,1.0,exact match on 'radiology mobile' + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Occupational Therapist Program,225X00000X,1.0,exact match on 'occupational therapist',,,,,,,,,,,,,1
Adult Health Nurse Practitioner,363L00000X|363LA2200X|364SP0809X,1.0,fuzzy match (query='adult nurse'): 'nurse' score=1.00; 'nurse psychiatric mental adult' score=1.00; 'nurse adult' score=1.00,,,,,,,,,,,,,1
Neurology Center,2084A0401X|2084B0040X|2084P0301X|2084P0802X|2084P0804X|261Q00000X,1.0,fuzzy match (query='neurology'): 'psychiatry neurology addiction medicine' score=1.00; 'psychiatry neurology addiction psychiatry' score=1.00; 'psychiatry neurology behavioral neurology neuropsychiatry' score=1.00; 'psychiatry neurology brain injury medicine' score=1.00; 'psychiatry neurology child adolescent psychiatry' score=1.00 + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Nephrology dept,246ZN0300X,1.0,exact match on 'nephrology',,,,,,,,,,,,,1
Orthopedic Surgery Practice,207X00000X|208600000X|246ZX2200X,1.0,fuzzy match (query='orthopedic surgery'): 'surgery' score=1.00; 'orthopedic' score=1.00; 'orthopaedic surgery' score=0.97,,,,,,,,,,,,,1
TAXI Service,344600000X,1.0,exact match on 'taxi',,,,,,,,,,,,,1
Dept of Family Medicine,207PE0004X|207Q00000X|207QA0000X|207QA0401X|207QA0505X,1.0,fuzzy match (query='family medicine'): 'medicine' score=1.00; 'family medicine osteopathic manipulative treatment' score=1.00; 'family medicine addiction medicine' score=1.00; 'family medicine adolescent medicine' score=1.00; 'family medicine adult medicine' score=1.00,,,,,,,,,,,,,1
Gastroenterology,163WG0100X|207RG0100X|2080P0206X,1.0,fuzzy match (query='gastroenterology'): 'internal medicine gastroenterology' score=1.00; 'pediatrics pediatric gastroenterology' score=1.00; 'nurse gastroenterology' score=1.00 + spacing rescue,,,,,,,,,,,,,1
Clinical Laboratory Division,291U00000X,1.0,exact match on 'laboratory',,,,,,,,,,,,,1
Geriatric-Medicine,207PE0004X|207QG0300X|207RG0300X,1.0,fuzzy match (query='geriatric medicine'): 'medicine' score=1.00; 'family medicine geriatric medicine' score=1.00; 'internal medicine geriatric medicine' score=1.00 + spacing rescue,,,,,,,,,,,,,1
MARR1AGE & FAM1LY THERAP1ST,106H00000X,1.0,exact match on 'marriage family therapist',,,,,,,,,,,,,1
Dr. FREE STANDING (RURAL HEALTH CLINIC),261QR1300X|261Q00000X,1.0,fuzzy match (query='free standing rural'): 'rural' score=1.00 + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
TAXI,344600000X,1.0,exact match on 'taxi',,,,,,,,,,,,,1
Orthotics and Prosthetics dept,335E00000X,0.8163,fuzzy match (query='orthotics prosthetics'): 'prosthetic orthotic supplier' score=0.82,Prosthetic/Orthotic Supplier,1,0,0,0.0,0.0,0,0.6897,0.6897,0.6897,0,0.843,0
Pharmacy Division,183700000X|333600000X,1.0,exact match on 'pharmacy',,,,,,,,,,,,,1
Pediatric Dentistry,1223P0221X,1.0,fuzzy match (query='pediatric dentistry'): 'dentist pediatric dentistry' score=1.00,,,,,,,,,,,,,1
Orthopedic Surgery,207X00000X|208600000X|246ZX2200X,1.0,fuzzy match (query='orthopedic surgery'): 'surgery' score=1.00; 'orthopedic' score=1.00; 'orthopaedic surgery' score=0.97,,,,,,,,,,,,,1
ANESTHESIOLOGY,207L00000X,1.0,exact match on 'anesthesiology' + spacing rescue,,,,,,,,,,,,,1
PAIN MANAGEMENT,163WP0000X|261QP3300X,1.0,fuzzy match (query='pain management'): 'nurse pain management' score=1.00; 'pain' score=1.00,,,,,,,,,,,,,1
Endocrinology Unit,163WR1000X|207RE0101X|207VE0102X|2080P0205X,1.0,fuzzy match (query='endocrinology'): 'internal medicine endocrinology diabetes metabolism' score=1.00; 'obstetrics gynecology reproductive endocrinology' score=1.00; 'pediatrics pediatric endocrinology' score=1.00; 'nurse reproductive endocrinology infertility' score=1.00,,,,,,,,,,,,,1
FREE STANDING (RURAL HEALTH CLINIC) hospital,261QR1300X|261Q00000X,1.0,fuzzy match (query='free standing rural'): 'rural' score=1.00 + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Dept of Oncology,261QX0200X,1.0,exact match on 'oncology',,,,,,,,,,,,,1
Behavioral Health Counselor Service,101Y00000X,1.0,fuzzy match (query='behavioral counselor'): 'counselor' score=1.00,,,,,,,,,,,,,1
Dermatology,207N00000X,1.0,exact match on 'dermatology' + spacing rescue,,,,,,,,,,,,,1
Neuropsychiatry,2084B0040X,1.0,fuzzy match (query='neuropsychiatry'): 'psychiatry neurology behavioral neurology neuropsychiatry' score=1.00 + spacing rescue,,,,,,,,,,,,,1
Critical Care Medicine,207LC0200X|207PE0004X|207RC0200X|207VC0200X|2080P0203X,1.0,fuzzy match (query='critical medicine'): 'anesthesiology critical medicine' score=1.00; 'medicine' score=1.00; 'internal medicine critical medicine' score=1.00; 'obstetrics gynecology critical medicine' score=1.00; 'pediatrics pediatric critical medicine' score=1.00,,,,,,,,,,,,,1
Clinical Laboratory Program,291U00000X,1.0,exact match on 'laboratory',,,,,,,,,,,,,1
Hematology,207RH0000X|207RH0003X|2080P0207X|246QH0000X,1.0,fuzzy match (query='hematology'): 'internal medicine hematology' score=1.00; 'internal medicine hematology oncology' score=1.00; 'pathology hematology' score=1.00; 'pediatrics pediatric hematology oncology' score=1.00 + spacing rescue,,,,,,,,,,,,,1
Emergency Medical Technician Center,261Q00000X|146L00000X|146M00000X|146N00000X,1.0,blank input + appended 261Q00000X for 'clinic/center' rule + mandatory emergency/medical/technician codes appended,,,,,,,,,,,,,1
Sports Medicine dept,204C00000X|207PE0004X|207PS0010X|207QS0010X|207RS0010X,1.0,fuzzy match (query='sports medicine'): 'medicine' score=1.00; 'medicine sports medicine' score=1.00; 'family medicine sports medicine' score=1.00; 'internal medicine sports medicine' score=1.00; 'neuromusculoskeletal medicine sports medicine' score=1.00,,,,,,,,,,,,,1
Urology,208800000X,1.0,exact match on 'urology' + spacing rescue,,,,,,,,,,,,,1
Pathology,246Q00000X|246QM0706X|246R00000X,1.0,exact match on 'pathology' + spacing rescue,,,,,,,,,,,,,1
Dr. Orthopedic Surgery,207X00000X|208600000X|246ZX2200X,1.0,fuzzy match (query='orthopedic surgery'): 'surgery' score=1.00; 'orthopedic' score=1.00; 'orthopaedic surgery' score=0.97,,,,,,,,,,,,,1
SPEECH-LANGUAGE PATHOLOGIST,235Z00000X,1.0,exact match on 'speech language pathologist',,,,,,,,,,,,,1
General Practice Service,208D00000X,1.0,exact match on 'general',,,,,,,,,,,,,1
Urology Division,208800000X,1.0,exact match on 'urology',,,,,,,,,,,,,1
Oncology Unit,261QX0200X,1.0,exact match on 'oncology',,,,,,,,,,,,,1
IP,315D00000X,1.0,exact match on 'hospice inpatient',,,,,,,,,,,,,1
COMMUNITY HEALTH,261QC1500X,1.0,exact match on 'community',,,,,,,,,,,,,1
TAXI,344600000X,1.0,exact match on 'taxi',,,,,,,,,,,,,1
Hematology,207RH0000X|207RH0003X|2080P0207X|246QH0000X,1.0,fuzzy match (query='hematology'): 'internal medicine hematology' score=1.00; 'internal medicine hematology oncology' score=1.00; 'pathology hematology' score=1.00; 'pediatrics pediatric hematology oncology' score=1.00 + spacing rescue,,,,,,,,,,,,,1
Psychiatry,2084A0401X|2084B0040X|2084P0301X|2084P0802X|2084P0804X,1.0,fuzzy match (query='psychiatry'): 'psychiatry neurology addiction medicine' score=1.00; 'psychiatry neurology addiction psychiatry' score=1.00; 'psychiatry neurology behavioral neurology neuropsychiatry' score=1.00; 'psychiatry neurology brain injury medicine' score=1.00; 'psychiatry neurology child adolescent psychiatry' score=1.00 + spacing rescue,,,,,,,,,,,,,1
Sleep Medicine Practice,207PE0004X|207QS1201X|207RS0012X|207YS0012X|2080S0012X,1.0,fuzzy match (query='sleep medicine'): 'medicine' score=1.00; 'family medicine sleep medicine' score=1.00; 'internal medicine sleep medicine' score=1.00; 'otolaryngology sleep medicine' score=1.00; 'pediatrics sleep medicine' score=1.00,,,,,,,,,,,,,1
Nuclear Medicine Unit,207U00000X,1.0,exact match on 'nuclear medicine',,,,,,,,,,,,,1
Nephrology,246ZN0300X,1.0,exact match on 'nephrology' + spacing rescue,,,,,,,,,,,,,1
Derma,207N00000X,0.625,fuzzy match (query='derma'): 'dermatology' score=0.62,Dermatology,1,0,0,0.0,0.0,1,0.625,0.625,0.625,1,0.5481,0
PEDIATRICS Center,208000000X|261Q00000X,1.0,exact match on 'pediatrics' + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
surgical oncology,208600000X,1.0,exact match on 'surgery',,,,,,,,,,,,,1
Medical Genetics,261QG0250X,1.0,exact match on 'genetics',,,,,,,,,,,,,1
GERIATRIC MEDICINE,207PE0004X|207QG0300X|207RG0300X,1.0,fuzzy match (query='geriatric medicine'): 'medicine' score=1.00; 'family medicine geriatric medicine' score=1.00; 'internal medicine geriatric medicine' score=1.00,,,,,,,,,,,,,1
Dr. Pediatric Dentistry,1223P0221X,1.0,fuzzy match (query='pediatric dentistry'): 'dentist pediatric dentistry' score=1.00,,,,,,,,,,,,,1
Psychiatry Division,2084A0401X|2084B0040X|2084P0301X|2084P0802X|2084P0804X,1.0,fuzzy match (query='psychiatry'): 'psychiatry neurology addiction medicine' score=1.00; 'psychiatry neurology addiction psychiatry' score=1.00; 'psychiatry neurology behavioral neurology neuropsychiatry' score=1.00; 'psychiatry neurology brain injury medicine' score=1.00; 'psychiatry neurology child adolescent psychiatry' score=1.00,,,,,,,,,,,,,1
Diet,132700000X,1.0,fuzzy match (query='dietary'): 'dietary manager' score=1.00,,,,,,,,,,,,,1
Path,172P00000X|175L00000X|207ZC0006X|246R00000X,0.6154,fuzzy match (query='path'): 'pathology pathology' score=0.62; 'homeopath' score=0.62; 'naprapath' score=0.62; 'pathology' score=0.62,Naprapath,1,0,0,0.0,0.0,1,0.6154,0.6154,0.6154,0,0.6115,0
Endocrinology Program,163WR1000X|207RE0101X|207VE0102X|2080P0205X,1.0,fuzzy match (query='endocrinology'): 'internal medicine endocrinology diabetes metabolism' score=1.00; 'obstetrics gynecology reproductive endocrinology' score=1.00; 'pediatrics pediatric endocrinology' score=1.00; 'nurse reproductive endocrinology infertility' score=1.00,,,,,,,,,,,,,1
Hematology dept,207RH0000X|207RH0003X|2080P0207X|246QH0000X,1.0,fuzzy match (query='hematology'): 'internal medicine hematology' score=1.00; 'internal medicine hematology oncology' score=1.00; 'pathology hematology' score=1.00; 'pediatrics pediatric hematology oncology' score=1.00,,,,,,,,,,,,,1
Midwife Unit,176B00000X,1.0,exact match on 'midwife',,,,,,,,,,,,,1
Cardiology Division,246W00000X,1.0,exact match on 'cardiology',,,,,,,,,,,,,1
TAXI,344600000X,1.0,exact match on 'taxi',,,,,,,,,,,,,1
Dept of Audiology,2355A2700X,1.0,exact match on 'audiology',,,,,,,,,,,,,1
Addiction Medicine hospital,207LA0401X|207PE0004X|207QA0401X|207RA0401X|2083A0300X,1.0,fuzzy match (query='addiction medicine'): 'anesthesiology addiction medicine' score=1.00; 'medicine' score=1.00; 'family medicine addiction medicine' score=1.00; 'internal medicine addiction medicine' score=1.00; 'preventive medicine addiction medicine' score=1.00,,,,,,,,,,,,,1
Midwife Center,176B00000X|261Q00000X,1.0,exact match on 'midwife' + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Dentistry,1223P0221X,1.0,fuzzy match (query='dentistry'): 'dentist pediatric dentistry' score=1.00 + spacing rescue,,,,,,,,,,,,,1
Neuropsychiatry Services,2084B0040X,1.0,fuzzy match (query='neuropsychiatry'): 'psychiatry neurology behavioral neurology neuropsychiatry' score=1.00,,,,,,,,,,,,,1
Chiropractic,111N00000X,0.8333,fuzzy match (query='chiropractic'): 'chiropractor' score=0.83,Chiropractor,1,0,0,0.0,0.0,0,0.8333,0.8333,0.8333,0,0.9515,0
Clinical Psychology Division,103TH0100X,0.8182,fuzzy match (query='psychology'): 'psychologist' score=0.82,Psychologist Health Service,1,0,0,0.0,0.0,1,0.4364,0.4364,0.4364,0,0.6242,0
Pain Management Service,163WP0000X|261QP3300X,1.0,fuzzy match (query='pain management'): 'nurse pain management' score=1.00; 'pain' score=1.00,,,,,,,,,,,,,1
Dept of Naturopathic Physician,363AM0700X,1.0,fuzzy match (query='naturopathic physician'): 'physician' score=1.00,,,,,,,,,,,,,1
Clinical Laboratory,291U00000X,1.0,exact match on 'laboratory',,,,,,,,,,,,,1
Adult Health Nurse Practitioner Program,363L00000X|363LA2200X|364SP0809X,1.0,fuzzy match (query='adult nurse'): 'nurse' score=1.00; 'nurse psychiatric mental adult' score=1.00; 'nurse adult' score=1.00,,,,,,,,,,,,,1
Nuclear Medicine,207U00000X,1.0,exact match on 'nuclear medicine',,,,,,,,,,,,,1
Dr. Midwife,176B00000X,1.0,exact match on 'midwife',,,,,,,,,,,,,1
Naturopathic Physician,363AM0700X,1.0,fuzzy match (query='naturopathic physician'): 'physician' score=1.00,,,,,,,,,,,,,1
Sleep Medicine,207PE0004X|207QS1201X|207RS0012X|207YS0012X|2080S0012X,1.0,fuzzy match (query='sleep medicine'): 'medicine' score=1.00; 'family medicine sleep medicine' score=1.00; 'internal medicine sleep medicine' score=1.00; 'otolaryngology sleep medicine' score=1.00; 'pediatrics sleep medicine' score=1.00,,,,,,,,,,,,,1
FamilyMedicine,207PE0004X|207Q00000X|207QA0000X|207QA0401X|207QA0505X,1.0,fuzzy match (query='family medicine'): 'medicine' score=1.00; 'family medicine osteopathic manipulative treatment' score=1.00; 'family medicine addiction medicine' score=1.00; 'family medicine adolescent medicine' score=1.00; 'family medicine adult medicine' score=1.00 + spacing rescue,,,,,,,,,,,,,1
Family Medicine Practice,207PE0004X|207Q00000X|207QA0000X|207QA0401X|207QA0505X,1.0,fuzzy match (query='family medicine'): 'medicine' score=1.00; 'family medicine osteopathic manipulative treatment' score=1.00; 'family medicine addiction medicine' score=1.00; 'family medicine adolescent medicine' score=1.00; 'family medicine adult medicine' score=1.00,,,,,,,,,,,,,1
COMMUNITY HEALTH - CLINIC/CENTER CLINIC,261QC1500X|261Q00000X,1.0,exact match on 'community' + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Derma,207N00000X,0.625,fuzzy match (query='derma'): 'dermatology' score=0.62,Dermatology,1,0,0,0.0,0.0,1,0.625,0.625,0.625,1,0.5481,0
Hospice and Palliative Care Unit,207LH0002X|207PH0002X|207QH0002X|207RH0002X|207VH0002X,1.0,fuzzy match (query='hospice palliative'): 'anesthesiology hospice palliative medicine' score=1.00; 'medicine hospice palliative medicine' score=1.00; 'family medicine hospice palliative medicine' score=1.00; 'internal medicine hospice palliative medicine' score=1.00; 'obstetrics gynecology hospice palliative medicine' score=1.00,,,,,,,,,,,,,1
RADIOLOGY MOBILE CLINIC/CENTER,261QR0208X|261Q00000X,1.0,exact match on 'radiology mobile' + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Orthotics-and-Prosthetics,335E00000X,0.7692,fuzzy match (query='orthotic sandprosthetics'): 'prosthetic orthotic supplier' score=0.77 + spacing rescue,Prosthetic/Orthotic Supplier,1,0,0,0.0,0.0,0,0.7547,0.7547,0.7547,0,0.8005,0
Hematology Service,207RH0000X|207RH0003X|2080P0207X|246QH0000X,1.0,fuzzy match (query='hematology'): 'internal medicine hematology' score=1.00; 'internal medicine hematology oncology' score=1.00; 'pathology hematology' score=1.00; 'pediatrics pediatric hematology oncology' score=1.00,,,,,,,,,,,,,1
Sports Medicine Division,204C00000X|207PE0004X|207PS0010X|207QS0010X|207RS0010X,1.0,fuzzy match (query='sports medicine'): 'medicine' score=1.00; 'medicine sports medicine' score=1.00; 'family medicine sports medicine' score=1.00; 'internal medicine sports medicine' score=1.00; 'neuromusculoskeletal medicine sports medicine' score=1.00,,,,,,,,,,,,,1
Infectious Disease CLINIC,207RI0200X|261Q00000X,1.0,fuzzy match (query='infectious disease'): 'internal medicine infectious disease' score=1.00 + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Critical Care Medicine,207LC0200X|207PE0004X|207RC0200X|207VC0200X|2080P0203X,1.0,fuzzy match (query='critical medicine'): 'anesthesiology critical medicine' score=1.00; 'medicine' score=1.00; 'internal medicine critical medicine' score=1.00; 'obstetrics gynecology critical medicine' score=1.00; 'pediatrics pediatric critical medicine' score=1.00,,,,,,,,,,,,,1
OPTICIAN,156FX1800X,1.0,exact match on 'optician' + spacing rescue,,,,,,,,,,,,,1
Hematology CLINIC,207RH0000X|207RH0003X|2080P0207X|246QH0000X|261Q00000X,1.0,fuzzy match (query='hematology'): 'internal medicine hematology' score=1.00; 'internal medicine hematology oncology' score=1.00; 'pathology hematology' score=1.00; 'pediatrics pediatric hematology oncology' score=1.00 + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Dentistry,1223P0221X,1.0,fuzzy match (query='dentistry'): 'dentist pediatric dentistry' score=1.00 + spacing rescue,,,,,,,,,,,,,1
IP Service,315D00000X,1.0,exact match on 'hospice inpatient',,,,,,,,,,,,,1
Midwife CLINIC,176B00000X|261Q00000X,1.0,exact match on 'midwife' + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Clinical Psychology Services,103TH0100X,0.8182,fuzzy match (query='psychology'): 'psychologist' score=0.82,Psychologist Health Service,1,0,0,0.0,0.0,0,0.7273,0.7273,0.7273,0,0.8621,0
Gastroenterology,163WG0100X|207RG0100X|2080P0206X,1.0,fuzzy match (query='gastroenterology'): 'internal medicine gastroenterology' score=1.00; 'pediatrics pediatric gastroenterology' score=1.00; 'nurse gastroenterology' score=1.00 + spacing rescue,,,,,,,,,,,,,1
Dietitian hospital,133V00000X,1.0,exact match on 'dietitian',,,,,,,,,,,,,1
Pain Management CLINIC,163WP0000X|261QP3300X|261Q00000X,1.0,fuzzy match (query='pain management'): 'nurse pain management' score=1.00; 'pain' score=1.00 + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Dept of Adult Health Nurse Practitioner,363L00000X|363LA2200X|364SP0809X,1.0,fuzzy match (query='adult nurse'): 'nurse' score=1.00; 'nurse psychiatric mental adult' score=1.00; 'nurse adult' score=1.00,,,,,,,,,,,,,1
neuropsychiatry,2084B0040X,1.0,fuzzy match (query='neuropsychiatry'): 'psychiatry neurology behavioral neurology neuropsychiatry' score=1.00,,,,,,,,,,,,,1
Public Health Service,1223D0001X|2083P0901X|213EP0504X|251K00000X|364SC1501X,1.0,fuzzy match (query='public'): 'preventive medicine public general preventive medicine' score=1.00; 'dentist dental public' score=1.00; 'nurse community public' score=1.00; 'podiatrist public medicine' score=1.00; 'public or welfare' score=1.00,,,,,,,,,,,,,1
RADIOLOGY MOBILE CLINIC/CENTER,261QR0208X|261Q00000X,1.0,exact match on 'radiology mobile' + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
FREESTANDING(RURALHEALTHCLINIC),JUNK,0.4706,best fuzzy 0.47 below cutoff 0.60 (query='freestanding ruralhealthclinic'),,,,,,,,,,,,,0
Dentistry,1223P0221X,1.0,fuzzy match (query='dentistry'): 'dentist pediatric dentistry' score=1.00 + spacing rescue,,,,,,,,,,,,,1
Dermatology,207N00000X,1.0,exact match on 'dermatology' + spacing rescue,,,,,,,,,,,,,1
0B/GYN,207V00000X,1.0,exact match on 'obstetrics gynecology',,,,,,,,,,,,,1
Emergency Medical Technician,146L00000X|146M00000X|146N00000X,1.0,blank input + mandatory emergency/medical/technician codes appended,,,,,,,,,,,,,1
Urology Division,208800000X,1.0,exact match on 'urology',,,,,,,,,,,,,1
FREE STANDING (RURAL HEALTH CLINIC) Program,261QR1300X|261Q00000X,1.0,fuzzy match (query='free standing rural'): 'rural' score=1.00 + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
PHYSICAL MEDICINE & REHAB Services,207PE0004X,1.0,fuzzy match (query='medicine rehab'): 'medicine' score=1.00,,,,,,,,,,,,,1
Pain Management Division,163WP0000X|261QP3300X,1.0,fuzzy match (query='pain management'): 'nurse pain management' score=1.00; 'pain' score=1.00,,,,,,,,,,,,,1
Ophthalmology Division,207W00000X,1.0,exact match on 'ophthalmology',,,,,,,,,,,,,1
Adult Health Nurse Practitioner Program,363L00000X|363LA2200X|364SP0809X,1.0,fuzzy match (query='adult nurse'): 'nurse' score=1.00; 'nurse psychiatric mental adult' score=1.00; 'nurse adult' score=1.00,,,,,,,,,,,,,1
Emergency Medicine,207P00000X|207PE0004X,1.0,exact match on 'medicine',,,,,,,,,,,,,1
hospice and palliative care,207LH0002X|207PH0002X|207QH0002X|207RH0002X|207VH0002X,1.0,fuzzy match (query='hospice palliative'): 'anesthesiology hospice palliative medicine' score=1.00; 'medicine hospice palliative medicine' score=1.00; 'family medicine hospice palliative medicine' score=1.00; 'internal medicine hospice palliative medicine' score=1.00; 'obstetrics gynecology hospice palliative medicine' score=1.00,,,,,,,,,,,,,1
Emergency Medicine,207P00000X|207PE0004X,1.0,exact match on 'medicine',,,,,,,,,,,,,1
Ophthalmology Program,207W00000X,1.0,exact match on 'ophthalmology',,,,,,,,,,,,,1
Nuclear Medicine hospital,207U00000X,1.0,exact match on 'nuclear medicine',,,,,,,,,,,,,1
Cardiology Program,246W00000X,1.0,exact match on 'cardiology',,,,,,,,,,,,,1
Behavioral Health Counselor Program,101Y00000X,1.0,fuzzy match (query='behavioral counselor'): 'counselor' score=1.00,,,,,,,,,,,,,1
Occupational-Therapist,225X00000X,1.0,exact match on 'occupational therapist' + spacing rescue,,,,,,,,,,,,,1
Vascular Surgery Center,208600000X|2086S0129X|208G00000X|261Q00000X,1.0,fuzzy match (query='vascular surgery'): 'surgery' score=1.00; 'surgery vascular surgery' score=1.00; 'thoracic surgery cardiothoracic vascular surgery' score=1.00 + appended 261Q00000X for 'clinic/center' rule,,,,,,,,,,,,,1
Oncology,261QX0200X,1.0,exact match on 'oncology' + spacing rescue,,,,,,,,,,,,,1
Diet,132700000X,1.0,fuzzy match (query='dietary'): 'dietary manager' score=1.00,,,,,,,,,,,,,1
